Timestamp,Gender,Age,Year of Study,Major/Intended Major,"Average mobile screen time per day? (This question has to be accurate so please check this from your settings 🙏  🙏. in Hour:Min, don't worry about AM/PM)",What time of the day do you use your phone the most?⏰,What day of the week do you use your phone the most?📅,Most used app(Genre of app),Do you use your phone for academic purposes?,Number of people in your friend circle 👥👥,How would you rate your anxiety level on a scale of 1-5(with 5 being most anxious)😬,Do you play any sport? ⚽ 🏀 🏏,What is your CGPA? 🎓,Would you be willing to reduce your phone usage if it meant improving your academic performance?,"Do you use strategies to manage your phone usage? (e.g,  Setting usage limits, Using apps to track usage, Turning off notifications, Scheduled phone-free times  )"
10/15/2024 2:16:54,Male,20,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:42:00 AM,Night,Saturday,"Entertainment(YouTube, Netflix etc) 📺",Yes,Unlimited,4,Yes,3.0-3.3,Yes,Yes
10/15/2024 3:06:45,Female,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,3:06:00 AM,Night,Saturday,"Entertainment(YouTube, Netflix etc) 📺",Yes,8,3,No,3.0-3.3,Yes,No
10/15/2024 3:08:00,Male,19,Sophomore,Law ⚖️,5:30:00 AM,Evening,Saturday,"Messaging(Whatsapp, Messenger) 💬",Yes,9,2,Yes,3.6-4.0,Yes,Yes
10/15/2024 6:09:17,Male,21,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:00:00 AM,Night,Saturday,"Entertainment(YouTube, Netflix etc) 📺",Yes,8,2,Yes,3.0-3.3,Yes,Yes
10/15/2024 6:09:36,Male,21,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:30:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,12,3,Yes,2.5-3.0,Yes,No
10/15/2024 6:11:09,Female,20,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,7:03:00 AM,Night,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,😣3,3,No,3.0-3.3,Yes,No
10/15/2024 7:51:50,Female,20,Sophomore,Business Studies 📈,4:53:00 AM,Night,Sunday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,7,5,No,3.6-4.0,Yes,Yes
10/15/2024 8:01:23,Male,20,Freshman,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,1:45:00 AM,Night,Friday,"Messaging(Whatsapp, Messenger) 💬",Yes,4,3,Yes,3.6-4.0,Yes,Yes
10/15/2024 8:11:10,Female,21,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,12:00:00 AM,Night,Saturday,"Messaging(Whatsapp, Messenger) 💬",Yes,15,3,No,3.6-4.0,Yes,Yes
10/15/2024 8:18:11,Female,20,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,3:40:00 AM,Morning,Wednesday,"Messaging(Whatsapp, Messenger) 💬",Yes,3,5,No,3.6-4.0,Yes,No
10/15/2024 8:18:16,Male,26,Senior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,5:21:00 AM,Night,Saturday,"Messaging(Whatsapp, Messenger) 💬",No,04,3,Yes,3.3-3.6,No,No
10/15/2024 8:27:38,Male,19,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,6:05:00 AM,Evening,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,13,2,Yes,3.3-3.6,Yes,Yes
10/15/2024 8:38:25,Female,18,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,12:36:00 AM,Night,Sunday,"Messaging(Whatsapp, Messenger) 💬",Yes,5,2,No,3.0-3.3,Yes,No
10/15/2024 8:48:37,Female,19,Sophomore,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,5:34:00 AM,Evening,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",No,3,4,No,3.6-4.0,Yes,No
10/15/2024 9:04:02,Male,20,Junior,Sciences 🧬/Engineering 🔢/Comp Sci 🧑‍💻,4:30:00 AM,Night,Friday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,8,4,Yes,3.0-3.3,Yes,Yes
10/15/2024 9:12:30,Male,22,Junior,Law ⚖️,7:12:00 AM,Night,Saturday,"Social Media(Facebook, Instagram, Snapchat etc) 📲",Yes,7,4,Yes,3.3-3.6,Yes,Yes
